CustomIntervall;; linecount Zugang Europaviertel; linecount Bahnsteig01; linecount Bahnsteig02; linecount Bahnsteig03; linecount Bahnsteig04; linecount Bahnsteig05; linecount Bahnsteig06; linecount Bahnsteig07; linecount Bahnsteig08; Querbahnsteig; STG_QB04_Steg01; STG_Bonatz10_Steg01; STG_QB12_Steg02; STG_Bonatz13_Steg02; STG_Bonatz04; linecount Zugang Infoturm Stuttgart; linecount Zugang Schlossgarten; (AB) linecount Zugang Schlossgarten+ITS;Bahnsteige Gesamt angepasst;Steg 02 Gesamt
03.01.2023 02:00;;72;50;13;6;10;90;0;4;17;190;0;0;0;0;50;0;11;0;190;50
03.01.2023 03:00;;60;48;11;13;1;2;0;3;101;179;0;0;0;0;42;2;8;0;179;42
03.01.2023 04:00;;197;44;61;55;20;133;0;53;129;495;0;0;0;0;113;4;15;0;495;113
03.01.2023 05:00;;499;112;185;155;42;370;0;245;199;1308;0;0;0;0;287;2;30;0;1.308;287
03.01.2023 06:00;;1319;466;597;459;628;520;0;484;455;3609;0;0;0;0;715;1;124;0;3.609;715
03.01.2023 07:00;;1676;530;306;591;500;931;0;543;962;4363;0;0;0;0;1162;6;219;0;4.363;1.162
03.01.2023 08:00;;1804;1007;614;639;527;1201;0;445;872;5305;0;0;0;0;1200;21;177;0;5.305;1.200
03.01.2023 09:00;;1439;762;258;743;636;1035;0;436;1359;5229;0;0;0;0;1421;37;202;0;5.229;1.421
03.01.2023 10:00;;1945;1308;647;924;917;1384;0;662;1064;6906;0;0;0;0;1715;56;251;0;6.906;1.715
03.01.2023 11:00;;2045;1321;881;1166;443;1526;0;927;1364;7628;0;0;0;0;2150;110;265;0;7.628;2.150
03.01.2023 12:00;;2106;1103;798;864;763;1301;0;973;1231;7033;0;0;0;0;2105;90;279;0;7.033;2.105
03.01.2023 13:00;;2006;1438;802;1015;805;1052;0;897;1421;7430;0;0;0;0;2136;56;248;0;7.430;2.136
03.01.2023 14:00;;2147;1300;704;937;1164;1187;0;640;1497;7429;0;0;0;0;2207;61;291;0;7.429;2.207
03.01.2023 15:00;;2096;1025;1148;261;800;1300;0;1256;1597;7387;0;0;0;0;2499;46;317;0;7.387;2.499
03.01.2023 16:00;;2701;1312;1236;586;784;1823;0;1328;1714;8783;0;0;0;0;3145;50;362;0;8.783;3.145
03.01.2023 17:00;;2413;1167;1038;911;449;1360;0;1128;2097;8150;0;0;0;0;3106;19;260;0;8.150;3.106
03.01.2023 18:00;;1954;1097;871;967;755;1107;0;921;1353;7071;0;0;0;0;2543;15;198;0;7.071;2.543
03.01.2023 19:00;;1313;770;525;333;809;549;0;924;1360;5270;0;0;0;0;1711;16;154;0;5.270;1.711
03.01.2023 20:00;;1228;788;399;405;672;561;0;718;924;4467;0;0;0;0;1321;18;128;0;4.467;1.321
03.01.2023 21:00;;945;424;289;592;204;396;0;582;833;3320;0;0;0;0;988;2;123;0;3.320;988
03.01.2023 22:00;;688;185;60;233;269;271;0;541;766;2325;0;0;0;0;770;4;106;0;2.325;770
03.01.2023 23:00;;265;73;39;24;120;228;0;167;265;916;0;0;0;0;357;0;48;0;916;357
04.01.2023 00:00;;318;71;36;28;64;213;0;72;273;757;0;0;0;0;254;2;40;0;757;254
04.01.2023 01:00;;82;42;11;16;2;63;0;6;5;145;0;0;0;0;32;0;7;0;145;32
04.01.2023 02:00;;63;17;10;33;9;86;0;8;5;168;0;0;0;0;15;0;1;0;168;15
04.01.2023 03:00;;82;30;5;25;6;12;0;5;95;178;0;0;0;0;80;0;8;0;178;80
04.01.2023 04:00;;150;78;52;51;15;103;0;36;50;385;0;0;0;0;73;0;5;0;385;73
04.01.2023 05:00;;475;143;115;230;43;440;0;204;224;1399;0;0;0;0;334;0;35;0;1.399;334
04.01.2023 06:00;;1177;461;569;339;589;476;0;447;412;3293;0;0;0;0;800;3;128;0;3.293;800
04.01.2023 07:00;;1887;546;671;728;553;962;0;549;801;4810;0;0;0;0;1198;12;179;0;4.810;1.198
04.01.2023 08:00;;1632;873;536;837;453;1166;0;511;748;5124;0;0;0;0;1214;2;148;0;5.124;1.214
04.01.2023 09:00;;1556;998;546;840;534;1010;0;577;1092;5597;0;0;0;0;1515;16;201;0;5.597;1.515
04.01.2023 10:00;;1845;1260;327;690;909;1702;0;711;1102;6701;0;0;0;0;1712;52;191;0;6.701;1.712
04.01.2023 11:00;;1929;1035;680;876;364;1192;0;750;1323;6220;0;0;0;0;1958;77;215;0;6.220;1.958
04.01.2023 12:00;;1977;1329;651;895;568;1139;0;1074;1035;6691;0;0;0;0;1936;50;185;0;6.691;1.936
04.01.2023 13:00;;1677;880;543;793;587;798;0;575;1043;5219;0;0;0;0;1641;92;241;0;5.219;1.641
04.01.2023 14:00;;2235;1477;909;998;1101;911;0;736;1240;7372;0;0;0;0;2191;86;237;0;7.372;2.191
04.01.2023 15:00;;2309;1345;993;760;602;1627;0;1619;1586;8532;0;0;0;0;2468;97;258;0;8.532;2.468
04.01.2023 16:00;;2506;1381;1102;877;788;1437;0;1137;1610;8332;0;0;0;0;2705;35;301;0;8.332;2.705
04.01.2023 17:00;;2488;1278;1050;1450;1148;1333;0;1302;1870;9431;0;0;0;0;2865;36;286;0;9.431;2.865
04.01.2023 18:00;;1756;1020;1005;730;972;1314;0;694;1422;7157;0;0;0;0;2448;28;273;0;7.157;2.448
04.01.2023 19:00;;1713;733;799;1141;820;542;0;1005;1258;6298;0;0;0;0;1852;10;162;0;6.298;1.852
04.01.2023 20:00;;1123;773;358;404;565;451;0;869;1081;4501;0;0;0;0;1179;4;151;0;4.501;1.179
04.01.2023 21:00;;923;591;201;564;365;379;0;516;960;3576;0;0;0;0;1010;4;93;0;3.576;1.010
04.01.2023 22:00;;542;273;151;145;397;227;0;245;549;1987;0;0;0;0;626;0;51;0;1.987;626
04.01.2023 23:00;;396;111;138;210;273;235;0;159;266;1392;0;0;0;0;425;2;66;0;1.392;425
05.01.2023 00:00;;210;42;12;12;73;156;0;110;193;598;0;0;0;0;270;0;19;0;598;270
05.01.2023 01:00;;66;32;16;2;1;51;0;14;6;122;0;0;0;0;28;2;0;0;122;28
05.01.2023 02:00;;101;34;10;9;6;124;0;5;13;201;0;0;0;0;58;2;7;0;201;58
05.01.2023 03:00;;85;35;28;17;16;24;0;10;86;216;0;0;0;0;63;2;8;0;216;63
05.01.2023 04:00;;167;52;45;53;13;162;0;50;140;515;0;0;0;0;163;0;21;0;515;163
05.01.2023 05:00;;402;118;115;176;55;349;0;196;162;1171;0;0;0;0;292;5;33;0;1.171;292
